tag,context
ecommerce,"E-commerce is a transaction of buying or selling online. Electronic commerce draws on technologies such as mobile commerce, electronic funds transfer, supply chain management, Internet marketing, online transaction processing, electronic data interchange (EDI), inventory management systems, and automated data collection systems. Modern electronic commerce typically uses the World Wide Web for at least one part of the transaction's life cycle although it may also use other technologies such as e-mail. Typical e-commerce transactions include the purchase of online books (such as Amazon) and music purchases (music download in the form of digital distribution such as iTunes Store), and to a less extent, customized/personalized online liquor store inventory services.
E-commerce businesses may also employ some or all of the followings:
Online shopping web sites for retail sales direct to consumers
Providing or participating in online marketplaces, which process third-party business-to-consumer or consumer-to-consumer sales
Business-to-business buying and selling;
Gathering and using demographic data through web contacts and social media
Business-to-business (B2B) electronic data interchange
Marketing to prospective and established customers by e-mail or fax (for example, with newsletters)
Engaging in pretail for launching new products and services
Online financial exchanges for currency exchanges or trading purposes."
logistics/supply chain,"A supply chain is a system of organizations, people, activities, information, and resources involved in moving a product or service from supplier to customer. Supply chain activities involve the transformation of natural resources, raw materials, and components into a finished product that is delivered to the end customer. In sophisticated supply chain systems, used products may re-enter the supply chain at any point where residual value is recyclable. Supply chains link value chains."
digital media,"Digital media are any media that are encoded in machine-readable formats. Digital media can be created, viewed, distributed, modified and preserved on digital electronics devices."
electronics,"Electronics is the science of controlling electrical energy electrically, in which the electrons have a fundamental role. Electronics deals with electrical circuits that involve active electrical components (such as vacuum tubes, transistors, diodes, integrated circuits, optoelectronics, and sensors), associated passive electrical components, and interconnection technologies. Commonly, electronic devices contain circuitry consisting primarily or exclusively of active semiconductors supplemented with passive elements; such a circuit is described as an electronic circuit.
The science of electronics is considered to be a branch of physics and electrical engineering.
The nonlinear behaviour of active components and their ability to control electron flows makes amplification of weak signals possible. Electronics is widely used in information processing, telecommunication, and signal processing. The ability of electronic devices to act as switches makes digital information processing possible. Interconnection technologies such as circuit boards, electronics packaging technology, and other varied forms of communication infrastructure complete circuit functionality and transform the mixed components into a regular working system.
Electronics is distinct from electrical and electro-mechanical science and technology, which deal with the generation, distribution, switching, storage, and conversion of electrical energy to and from other energy forms using wires, motors, generators, batteries, switches, relays, transformers, resistors, and other passive components. This distinction started around 1906 with the invention by Lee De Forest of the triode, which made electrical amplification of weak radio signals and audio signals possible with a non-mechanical device. Until 1950 this field was called ""radio technology"" because its principal application was the design and theory of radio transmitters, receivers, and vacuum tubes.
Today, most electronic devices use semiconductor components to perform electron control. The study of semiconductor devices and related technology is considered a branch of solid-state physics, whereas the design and construction of electronic circuits to solve practical problems come under electronics engineering. This article focuses on engineering aspects of electronics."
information,"Information is that which informs. In other words, it is the answer to a question of some kind. It is thus related to data and knowledge, as data represents values attributed to parameters, and knowledge signifies understanding of real things or abstract concepts. As it regards data, the information's existence is not necessarily coupled to an observer (it exists beyond an event horizon, for example), while in the case of knowledge, the information requires a cognitive observer.
Information is conveyed either as the content of a message or through direct or indirect observation of anything. That which is perceived can be construed as a message in its own right, and in that sense, information is always conveyed as the content of a message.
Information can be encoded into various forms for transmission and interpretation (for example, information may be encoded into a sequence of signs, or transmitted via a sequence of signals). It can also be encrypted for safe storage and communication.
Information reduces uncertainty. The uncertainty of an event is measured by its probability of occurrence and is inversely proportional to that. The more uncertain an event, the more information is required to resolve uncertainty of that event. The bit is a typical unit of information, but other units such as the nat may be used. For example, the information encoded in one ""fair"" coin flip is log2(2/1) = 1 bit, and in two fair coin flips is log2(4/1) = 2 bits.
The concept that information is the message has different meanings in different contexts. Thus the concept of information becomes closely related to notions of constraint, communication, control, data, form, education, knowledge, meaning, understanding, mental stimuli, pattern, perception, representation, and entropy."
Financial Services,"Financial services are the economic services provided by the finance industry, which encompasses a broad range of businesses that manage money, including credit unions, banks, credit-card companies, insurance companies, accountancy companies, consumer-finance companies, stock brokerages, investment funds, individual managers and some government-sponsored enterprises. Financial services companies are present in all economically developed geographic locations and tend to cluster in local, national, regional and international financial centers such as London, New York City, and Tokyo."
marketplace,"A market, or marketplace, is a location where people regularly gather for the purchase and sale of provisions, livestock, and other goods. In different parts of the world, a market place may be described as a souk (from the Arabic), bazaar (from the Persian), a fixed mercado (Spanish), or itinerant tianguis (Mexico), or palengke (Philippines). Some markets operate daily and are said to be permanent markets while others are held once a week or on less frequent specified days such as festival days and are said to be periodic markets. The form that a market adopts is depends on its locality's population, culture, ambient and geographic conditions.
Markets have existed for as long as humans have engaged in trade. The earliest bazaars are believed to have originated in Persia, from where they spread to the rest of the Middle East and Europe. Documentary sources suggest that zoning policies confined trading to particular parts of cities from around 3,000 BCE, creating the conditions necessary for the emergence of a bazaar. Middle Eastern bazaars were typically long strips with stalls on either side and a covered roof designed to protect traders and purchasers from the fierce sun. In Europe, informal, unregulated markets gradually made way for a system of formal, chartered markets from the 12th century. Throughout the Medieval period, increased regulation of marketplace practices, especially weights and measures, gave consumers confidence in the quality of market goods and the fairness of prices. Around the globe, markets have evolved in different ways depending on local ambient conditions, especially weather, tradition and culture. In the Middle East, markets tend to be covered, to protect traders and shoppers from the sun. In milder climates, markets are often open air. In Asia, a system of morning markets trading in fresh produce and night markets trading in non-perishables is common.
In many countries, shopping at a local market is a standard feature of daily life. Given the market's role in ensuring food supply for a population, markets are often highly regulated by a central authority. In many places, designated market places have become listed sites of historic and architectural significance and represent part of a town or nation's cultural assets. For these reasons, they are often popular tourist destinations."
social enterprise,"A social enterprise is an organization that applies commercial strategies to maximize improvements in human and environmental well-being—this may include maximizing social impact alongside profits for external shareholders. Social enterprises can be structured as a for-profit or non-profit, and may take the form (depending in which country the entity exists and the legal forms available) of a co-operative, mutual organization, a disregarded entity, a social business, a benefit corporation, a community interest company or a charity organization. They can also take more conventional structures. What differentiates social enterprises is that their social mission is as core to their success as any potential profit."
mobile payments,"Mobile payment (also referred to as mobile money, mobile money transfer, and mobile wallet) generally refer to payment services operated under financial regulation and performed from or via a mobile device. Instead of paying with cash, cheque, or credit cards, a consumer can use a mobile phone to pay for a wide range of services and digital or hard goods. Although the concept of using non-coin-based currency systems has a long history, it is only recently that the technology to support such systems has become widely available.
Mobile payment is being adopted all over the world in different ways. In 2008, the combined market for all types of mobile payments was projected to reach more than $600 billion globally by 2013, which would be double the figure as of February, 2011. The mobile payment market for goods and services, excluding contactless payments using near field communication (NFC) and money transfers, is expected to exceed $300 billion globally by 2013. Investment on mobile money services is expected to grow by 22.2% during the next two years across the globe. It will result in revenue share of mobile money reaching up to 9% by 2018. Asia and Africa will observe significant growth for mobile money with technological innovation and focus on interoperability emerging as prominent trends by 2018.
In developing countries mobile payment solutions have been deployed as a means of extending financial services to the community known as the ""unbanked"" or ""underbanked,"" which is estimated to be as much as 50% of the world's adult population, according to Financial Access' 2009 Report ""Half the World is Unbanked"". These payment networks are often used for micropayments. The use of mobile payments in developing countries has attracted public and private funding by organizations such as the Bill & Melinda Gates Foundation, United States Agency for International Development and Mercy Corps.
Mobile payments are becoming a key instrument for PSPs and other market participants, in order to achieve new growth opportunities, according to the European Payments Council (EPC). The EPC states that “new technology solutions provide a direct improvement to the operations efficiency, ultimately resulting in cost savings and in an increase in business volume”."
health care services,"The healthcare industry (also called the medical industry or health economy) is an aggregation and integration of sectors within the economic system that provides goods and services to treat patients with curative, preventive, rehabilitative, and palliative care. It includes the generation and commercialization of goods and services lending themselves to maintaining and re-establishing health. The modern healthcare industry is divided into many sectors and depends on interdisciplinary teams of trained professionals and paraprofessionals to meet health needs of individuals and populations.
The healthcare industry is one of the world's largest and fastest-growing industries. Consuming over 10 percent of gross domestic product (GDP) of most developed nations, health care can form an enormous part of a country's economy."
Internet Software,"This article outlines the general features commonly found in various Internet forum software packages. It highlights major features that the manager of a forum might want and should expect to be commonly available in different forum software. These comparisons do not include remotely hosted services which use their own proprietary software, rather than offering a package for download which webmasters can host by themselves."
digital marketing,"Digital marketing (also known as data-driven marketing) is the marketing of products or services using digital technologies, mainly on the Internet, but also including mobile phones, display advertising, and any other digital medium.
Digital marketing's development since the 1990s and 2000s has changed the way brands and businesses use technology for marketing. As digital platforms are increasingly incorporated into marketing plans and everyday life, and as people use digital devices instead of visiting physical shops, digital marketing campaigns are becoming more prevalent and efficient.
Digital marketing techniques such as search engine optimization (SEO), search engine marketing (SEM), content marketing, influencer marketing, content automation, campaign marketing, data-driven marketing and e-commerce marketing, social media marketing, social media optimization, e-mail direct marketing, display advertising, e–books, and optical disks and games are becoming more common in our advancing technology. In fact, digital marketing now extends to non-Internet channels that provide digital media, such as mobile phones (SMS and MMS), callback, and on-hold mobile ring tones."
logistics,"Logistics is generally the detailed organization and implementation of a complex operation. In a general business sense, logistics is the management of the flow of things between the point of origin and the point of consumption in order to meet requirements of customers or corporations. The resources managed in logistics can include physical items such as food, materials, animals, equipment, and liquids; as well as abstract items, such as time and information. The logistics of physical items usually involves the integration of information flow, material handling, production, packaging, inventory, transportation, warehousing, and often security.
In military science, logistics is concerned with maintaining army supply lines while disrupting those of the enemy, since an armed force without resources and transportation is defenseless. Military logistics was already practiced in the ancient world and as modern military have a significant need for logistics solutions, advanced implementations have been developed. In military logistics, logistics officers manage how and when to move resources to the places they are needed.
Logistics management is the part of supply chain management that plans, implements, and controls the efficient, effective forward, and reverse flow and storage of goods, services, and related information between the point of origin and the point of consumption in order to meet customer's requirements. The complexity of logistics can be modeled, analyzed, visualized, and optimized by dedicated simulation software. The minimization of the use of resources is a common motivation in all logistics fields. A professional working in the field of logistics management is called a logistician.

"
accounting,"Accounting or accountancy is the measurement, processing, and communication of financial information about economic entities such as businesses and corporations. The modern field was established by the Italian mathematician Luca Pacioli in 1494. Accounting, which has been called the ""language of business"", measures the results of an organization's economic activities and conveys this information to a variety of users, including investors, creditors, management, and regulators. Practitioners of accounting are known as accountants. The terms ""accounting"" and ""financial reporting"" are often used as synonyms.
Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting. Accounting information systems are designed to support accounting functions and related activities. Financial accounting focuses on the reporting of an organization's financial information, including the preparation of financial statements, to external users of the information, such as investors, regulators and suppliers; and management accounting focuses on the measurement, analysis and reporting of information for internal use by management. The recording of financial transactions, so that summaries of the financials may be presented in financial reports, is known as bookkeeping, of which double-entry bookkeeping is the most common system.
Accounting is facilitated by accounting organizations such as standard-setters, accounting firms and professional bodies. Financial statements are usually audited by accounting firms, and are prepared in accordance with generally accepted accounting principles (GAAP). GAAP is set by various standard-setting organizations such as the Financial Accounting Standards Board (FASB) in the United States and the Financial Reporting Council in the United Kingdom. As of 2012, ""all major economies"" have plans to converge towards or adopt the International Financial Reporting Standards (IFRS)."
seo,"Search engine optimization (SEO) is the process of affecting the online visibility of a website or a web page in a web search engine's unpaid results—often referred to as ""natural"", ""organic"", or ""earned"" results. In general, the earlier (or higher ranked on the search results page), and more frequently a website appears in the search results list, the more visitors it will receive from the search engine's users; these visitors can then be converted into customers. SEO may target different kinds of search, including image search, video search, academic search, news search, and industry-specific vertical search engines. SEO differs from local search engine optimization in that the latter is focused on optimizing a business' online presence so that its web pages will be displayed by search engines when a user enters a local search for its products or services. The former instead is more focused on national or international searches.
As an Internet marketing strategy, SEO considers how search engines work, the computer programmed algorithms which dictate search engine behavior, what people search for, the actual search terms or keywords typed into search engines, and which search engines are preferred by their targeted audience. Optimizing a website may involve editing its content, adding content, doing HTML, and associated coding to both increase its relevance to specific keywords and to remove barriers to the indexing activities of search engines. Promoting a site to increase the number of backlinks, or inbound links, is another SEO tactic. By May 2015, mobile search had surpassed desktop search.In 2015, it was reported that Google is developing and promoting mobile search as a key feature within future products. In response, many brands are beginning to take a different approach to their Internet marketing strategies."
industrial automation,"Automation can be defined as the technology by which a process or procedure is performed without human assistance.
In other words, Automation or automatic control, is the use of various control systems for operating equipment such as machinery, processes in factories, boilers and heat treating ovens, switching on telephone networks, steering and stabilization of ships, aircraft and other applications and vehicles with minimal or reduced human intervention, with some processes have been completely automated.
Automation has been achieved by various means including mechanical, hydraulic, pneumatic, electrical, electronic devices and computers, usually in combination. Complicated systems, such as modern factories, airplanes and ships typically use all these combined techniques. The benefit of automation include labor savings, savings in electricity costs, savings in material costs, and improvements to quality, accuracy and precision.
The term automation, inspired by the earlier word automatic (coming from automaton), was not widely used before 1947, when Ford established an automation department. It was during this time that industry was rapidly adopting feedback controllers, which were introduced in the 1930s."
systems software,"System software, or systems software, is computer software designed to provide a platform to other software. Examples of system software include operating systems, computational science software, game engines, industrial automation, and software as a service applications.
In contrast to system software, software that allows users to do things like create text documents, play games, listen to music, or web browsers to surf the web are called application software.
The line where the distinction should be drawn is not always clear. Many operating systems bundle application software. Such software is not considered system software when it can be uninstalled usually without affecting the functioning of other software. Exceptions could be e.g. web browsers such as Internet Explorer where Microsoft argued in court that it was system software that could not be uninstalled. Later examples are Chrome OS and Firefox OS where the browser functions as the only user interface and the only way to run programs (and other web browser can not be installed in their place), then they can well be argued to be (part of) the operating system and then system software.
Another borderline example is cloud based software. This software provides services to a software client (usually a web browser or a JavaScript application running in the web browser), not to the user directly, and is therefore systems software. It is also developed using system programming methodologies and systems programming languages. Yet from the perspective of functionality there is little difference between a word processing application and word processing web application."
computer networking,"A computer network or data network is a digital telecommunications network which allows nodes to share resources. In computer networks, networked computing devices exchange data with each other using a data link. The connections between nodes are established using either cable media or wireless media.
Network computer devices that originate, route and terminate the data are called network nodes. Nodes can include hosts such as personal computers, phones, servers as well as networking hardware. Two such devices can be said to be networked together when one device is able to exchange information with the other device, whether or not they have a direct connection to each other. In most cases, application-specific communications protocols are layered (i.e. carried as payload) over other more general communications protocols. This formidable collection of information technology requires skilled network management to keep it all running reliably.
Computer networks support an enormous number of applications and services such as access to the World Wide Web, digital video, digital audio, shared use of application and storage servers, printers, and fax machines, and use of email and instant messaging applications as well as many others. Computer networks differ in the transmission medium used to carry their signals, communications protocols to organize network traffic, the network's size, topology and organizational intent. The best-known computer network is the Internet."
software development,"Software development is the process of computer programming, documenting, testing, and bug fixing involved in creating and maintaining applications and frameworks resulting in a software product. Software development is a process of writing and maintaining the source code, but in a broader sense, it includes all that is involved between the conception of the desired software through to the final manifestation of the software, sometimes in a planned and structured process. Therefore, software development may include research, new development, prototyping, modification, reuse, re-engineering, maintenance, or any other activities that result in software products.
Software can be developed for a variety of purposes, the three most common being to meet specific needs of a specific client/business (the case with custom software), to meet a perceived need of some set of potential users (the case with commercial and open source software), or for personal use (e.g. a scientist may write software to automate a mundane task). Embedded software development, that is, the development of embedded software, such as used for controlling consumer products, requires the development process to be integrated with the development of the controlled physical product. System software underlies applications and the programming process itself, and is often developed separately.
The need for better quality control of the software development process has given rise to the discipline of software engineering, which aims to apply the systematic approach exemplified in the engineering paradigm to the process of software development.
There are many approaches to software project management, known as software development life cycle models, methodologies, processes, or models. The waterfall model is a traditional version, contrasted with the more recent innovation of agile software development."
website,"A website is a collection of related web pages, including multimedia content, typically identified with a common domain name, and published on at least one web server. A website may be accessible via a public Internet Protocol (IP) network, such as the Internet, or a private local area network (LAN), by referencing a uniform resource locator (URL) that identifies the site.
Websites can have many functions and can be used in various fashions; a website can be a personal website, a commercial website for a company, a government website or a non-profit organization website. Websites are typically dedicated to a particular topic or purpose, ranging from entertainment and social networking to providing news and education. All publicly accessible websites collectively constitute the World Wide Web, while private websites, such as a company's website for its employees, are typically a part of an intranet.
Web pages, which are the building blocks of websites, are documents, typically composed in plain text interspersed with formatting instructions of Hypertext Markup Language (HTML, XHTML). They may incorporate elements from other websites with suitable markup anchors. Web pages are accessed and transported with the Hypertext Transfer Protocol (HTTP), which may optionally employ encryption (HTTP Secure, HTTPS) to provide security and privacy for the user. The user's application, often a web browser, renders the page content according to its HTML markup instructions onto a display terminal.
Hyperlinking between web pages conveys to the reader the site structure and guides the navigation of the site, which often starts with a home page containing a directory of the site web content. Some websites require user registration or subscription to access content. Examples of subscription websites include many business sites, news websites, academic journal websites, gaming websites, file-sharing websites, message boards, web-based email, social networking websites, websites providing real-time stock market data, as well as sites providing various other services. As of 2017, end users can access websites on a range of devices, including desktop and laptop computers, tablet computers, smartphones and smart TVs."
home automation,"Home automation or domotics is building automation for a home, called a smart home or smart house. It involves the control and automation of lighting, heating (such as smart thermostats), ventilation, air conditioning (HVAC), and security, as well as home appliances such as washer/dryers, ovens or refrigerators/freezers. Wi-Fi is often used for remote monitoring and control. Home devices, when remotely monitored and controlled via the Internet, are an important constituent of the Internet of Things. Modern systems generally consist of switches and sensors connected to a central hub sometimes called a ""gateway"" from which the system is controlled with a user interface that is interacted either with a wall-mounted terminal, mobile phone software, tablet computer or a web interface, often but not always via Internet cloud services.
While there are many competing vendors, there are very few worldwide accepted industry standards and the smart home space is heavily fragmented. Popular communications protocol for products include X10, Ethernet, RS-485, 6LoWPAN, Bluetooth LE (BLE), ZigBee and Z-Wave, or other proprietary protocols all of which are incompatible with each other. Manufacturers often prevent independent implementations by withholding documentation and by litigation.
The home automation market was worth US$5.77 billion in 2013, predicted to reach a market value of US$12.81 billion by the year 2020."
mobile commerce,"The phrase mobile commerce was originally coined in 1997 by Kevin Duffey at the launch of the Global Mobile Commerce Forum, to mean ""the delivery of electronic commerce capabilities directly into the consumer’s hand, anywhere, via wireless technology."" Many choose to think of Mobile Commerce as meaning ""a retail outlet in your customer’s pocket.""
Mobile commerce is worth US$230 billion, with Asia representing almost half of the market, and has been forecast to reach US$700 billion in 2017. According to BI Intelligence in January 2013, 29% of mobile users have now made a purchase with their phones. Walmart estimated that 40% of all visits to their internet shopping site in December 2012 was from a mobile device. Bank of America predicts $67.1 billion in purchases will be made from mobile devices by European and U.S. shoppers in 2015. m-Commerce made up 11.6 per cent of total e-commerce spending in 2014, and is forecast to increase to 45 per cent by 2020, according to BI Intelligence. ComScore reported in February 2017 that mobile commerce had grown 45% in year to December 2016."
health,"Health is the level of functional and metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing physical, mental, psychological and social changes with environment. The World Health Organization (WHO) defined health in its broader sense in its 1948 constitution as ""a state of complete physical, mental, and social well-being and not merely the absence of disease or infirmity."" This definition has been subject to controversy, in particular as lacking operational value, the ambiguity in developing cohesive health strategies, and because of the problem created by use of the word ""complete"". Other definitions have been proposed, among which a recent definition that correlates health and personal satisfaction.  Classification systems such as the WHO Family of International Classifications, including the International Classification of Functioning, Disability and Health (ICF) and the International Classification of Diseases (ICD), are commonly used to define and measure the components of health.
Important to establish to types of health; physical and mental health. Mental health refers to a persons psychological well-being and how they feel. Physical health has many different components such as physical activity, nutrition and diet and sleep/rest. Physical health can have a major impact on mental health and vice versa."
startups,"A startup company (startup or start-up) is an entrepreneurial venture which is typically a newly emerged, fast-growing business that aims to meet a marketplace need by developing a viable business model around an innovative product, service, process or a platform. A startup is usually a company designed to effectively develop and validate a scalable business model.
Start-ups have high rates of failure, but the minority of successes include companies that have become large and influential."
money,"Money is any item or verifiable record that is generally accepted as payment for goods and services and repayment of debts in a particular country or socio-economic context. The main functions of money are distinguished as: a medium of exchange; a unit of account; a store of value; and, sometimes, a standard of deferred payment. Any item or verifiable record that fulfills these functions can be considered as money.
Money is historically an emergent market phenomenon establishing a commodity money, but nearly all contemporary money systems are based on fiat money. Fiat money, like any check or note of debt, is without use value as a physical commodity. It derives its value by being declared by a government to be legal tender; that is, it must be accepted as a form of payment within the boundaries of the country, for ""all debts, public and private"".
The money supply of a country consists of currency (banknotes and coins) and, depending on the particular definition used, one or more types of bank money (the balances held in checking accounts, savings accounts, and other types of bank accounts). Bank money, which consists only of records (mostly computerized in modern banking), forms by far the largest part of broad money in developed countries.

"
mobile apps,"A mobile app is a computer program designed to run on a mobile device such as a phone/tablet or watch.
Mobile applications often stand in contrast to desktop applications that run on desktop computers, and with web applications which run in mobile web browsers rather than directly on the mobile device.
The term ""app"" is a shortening of the term ""software application"". It has become very popular, and in 2010 was listed as ""Word of the Year"" by the American Dialect Society. In 2009, technology columnist David Pogue said that newer smartphones could be nicknamed ""app phones"" to distinguish them from earlier less-sophisticated smartphones."
architecture & construction,"Construction is the process of constructing a building or infrastructure. Construction differs from manufacturing in that manufacturing typically involves mass production of similar items without a designated purchaser, while construction typically takes place on location for a known client. Construction as an industry comprises six to nine percent of the gross domestic product of developed countries. Construction starts with planning, design, and financing; and continues until the project is built and ready for use.
Large-scale construction requires collaboration across multiple disciplines. An architect normally manages the job, and a construction manager, design engineer, construction engineer or project manager supervises it. Those involved with the design and execution must consider zoning requirements, environmental impact of the job, scheduling, budgeting, construction-site safety, availability and transportation of building materials, logistics, inconvenience to the public caused by construction delays and bidding. Large construction projects are sometimes referred to as megaprojects."
system,"A system is a regularly interacting or interdependent group of items forming a unified whole. Every system is delineated by its spatial and temporal boundaries, surrounded and influenced by its environment, described by its structure and purpose and expressed in its functioning."
Business Support Services,"Tata Business Support Services Ltd (Tata BSS) is a wholly owned subsidiary of Tata Sons, providing outsourced contact centre services to large telecommunications operators, Internet service providers, DTH service providers and online travel agencies amongst other domestic (Indian) and international clients. Tata BSS is among the third party outsourced customer service providers in India, serving domestic as well as international customers. With facilities across 21 ""global delivery centres"" that accommodate 23000+ employees.
Tata BSS provides inbound and outbound services (voice and non-voice) in English (for US and Indian geographies) and 14 regional Indian languages from its Indian centres. The centres in the US offer inbound customer care services, email support, cross-selling and up-selling services to industries including e-commerce, healthcare & travel."
industries,"Industry is the production of goods or related services within an economy. The major source of revenue of a group or company is the indicator of its relevant industry. When a large group has multiple sources of revenue generation, it is considered to be working in different industries. Manufacturing industry became a key sector of production and labour in European and North American countries during the Industrial Revolution, upsetting previous mercantile and feudal economies. This came through many successive rapid advances in technology, such as the production of steel and coal.
Following the Industrial Revolution, possibly a third of the world's economic output are derived that is from manufacturing industries. Many developed countries and many developing/semi-developed countries (People's Republic of China, India etc.) depend significantly on manufacturing industry. Industries, the countries they reside in, and the economies of those countries are interlinked in a complex web of interdependence."
banking,"A bank is a financial institution that accepts deposits from the public and creates credit. Lending activities can be performed either directly or indirectly through capital markets. Due to their importance in the financial stability of a country, banks are highly regulated in most countries. Most nations have institutionalized a system known as fractional reserve banking under which banks hold liquid assets equal to only a portion of their current liabilities. In addition to other regulations intended to ensure liquidity, banks are generally subject to minimum capital requirements based on an international set of capital standards, known as the Basel Accords.
Banking in its modern sense evolved in the 14th century in the prosperous cities of Renaissance Italy but in many ways was a continuation of ideas and concepts of credit and lending that had their roots in the ancient world. In the history of banking, a number of banking dynasties  – notably, the Medicis, the Fuggers, the Welsers, the Berenbergs and the Rothschilds  – have played a central role over many centuries. The oldest existing retail bank is Banca Monte dei Paschi di Siena, while the oldest existing merchant bank is Berenberg Bank."
telecommunications,"Telecommunication is the transmission of signs, signals, messages, words, writings, images and sounds or information of any nature by wire, radio, optical or other electromagnetic systems. Telecommunication occurs when the exchange of information between communication participants includes the use of technology. It is transmitted either electrically over physical media, such as cables, or via electromagnetic radiation. Such transmission paths are often divided into communication channels which afford the advantages of multiplexing. Since the Latin term communicatio is considered the social process of information exchange, the term, telecommunications, is often used in its plural form because it involves many different technologies.
Early means of communicating over a distance included visual signals, such as beacons, smoke signals, semaphore telegraphs, signal flags, and optical heliographs. Other examples of pre-modern long-distance communication included audio messages such as coded drumbeats, lung-blown horns, and loud whistles. 20th and 21st century technologies for long-distance communication usually involve electrical and electromagnetic technologies, such as telegraph, telephone, and teleprinter, networks, radio, microwave transmission, fiber optics, and communications satellites.
A revolution in wireless communication began in the first decade of the 20th century with the pioneering developments in radio communications by Guglielmo Marconi, who won the Nobel Prize in Physics in 1909. Other notable pioneering inventors and developers in the field of electrical and electronic telecommunications include Charles Wheatstone and Samuel Morse (inventors of the telegraph), Alexander Graham Bell (inventor of the telephone), Edwin Armstrong and Lee de Forest (inventors of radio), as well as Vladimir K. Zworykin, John Logie Baird and Philo Farnsworth (some of the inventors of television)."
mobile app,"A mobile app is a computer program designed to run on a mobile device such as a phone/tablet or watch.
Mobile applications often stand in contrast to desktop applications that run on desktop computers, and with web applications which run in mobile web browsers rather than directly on the mobile device.
The term ""app"" is a shortening of the term ""software application"". It has become very popular, and in 2010 was listed as ""Word of the Year"" by the American Dialect Society. In 2009, technology columnist David Pogue said that newer smartphones could be nicknamed ""app phones"" to distinguish them from earlier less-sophisticated smartphones."
health and wellness,"Wellness is generally used to mean a state beyond absence of illness but rather aims to optimize well-being.
The notions behind the term share the same roots as the alternative medicine movement, in 19th century movements in the US and Europe that sought to optimize health and to consider the whole person, like New Thought, Christian Science, and Lebensreform.
The term was partly inspired by the preamble to the World Health Organization’s 1948 constitution which said: “Health is a state of complete physical, mental and social well-being and not merely the absence of disease or infirmity.” It was initially brought to use in the US by Halbert L. Dunn, M.D. in the 1950s; Dunn was the chief of the National Office of Vital Statistics and discussed “high-level wellness,” which he defined as “an integrated method of functioning, which is oriented toward maximizing the potential of which the individual is capable.” The term ""wellness"" was then adopted by John Travis who opened a ""Wellness Resource Center"" in Mill Valley, California in the mid-1970s, which was seen by mainstream culture as part of the hedonistic culture of Northern California at that time and typical of the Me generation. Travis marketed the center as alternative medicine, opposed to what he said was the disease-oriented approach of medicine. The concept was further popularized by Robert Rodale through Prevention magazine, Bill Hetler, a doctor at University of Wisconsin–Stevens Point, who set up an annual academic conference on wellness, and Tom Dickey, who established the Berkeley Wellness Letter in the 1980s. The term had become accepted as standard usage in the 1990s.
By the late 2000s the concept had become widely used in employee assistance programs in workplaces, and funding for development of such programs in small business was included in the Affordable Care Act.
The US Substance Abuse and Mental Health Services Administration uses the concept of wellness in its programs, defining it as having eight aspects: emotional, environmental, financial, intellectual, occupational, physical, social, and spiritual."
healthcare services,"The healthcare industry (also called the medical industry or health economy) is an aggregation and integration of sectors within the economic system that provides goods and services to treat patients with curative, preventive, rehabilitative, and palliative care. It includes the generation and commercialization of goods and services lending themselves to maintaining and re-establishing health. The modern healthcare industry is divided into many sectors and depends on interdisciplinary teams of trained professionals and paraprofessionals to meet health needs of individuals and populations.
The healthcare industry is one of the world's largest and fastest-growing industries. Consuming over 10 percent of gross domestic product (GDP) of most developed nations, health care can form an enormous part of a country's economy."
